#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -655253.1527589137 10.63491448608693
10 60 -5 -4 0.5 1 35581.11972462402 1.359588172243093
10 60 -5 -4 1 1.5 69722.41346460835 1.829189034644514
10 60 -5 -4 1.5 2 61416.12394460083 1.502894610603107
10 60 -5 -4 2 2.5 51178.52474260438 2.214405934406386
10 60 -5 -4 2.5 3 42651.24336045924 1.079116974018689
10 60 -5 -4 3 3.5 35884.79036171723 0.9320590328352409
10 60 -5 -4 3.5 4 30511.68440787102 0.8779199647688074
10 60 -5 -4 4 4.5 26194.47138200932 0.6647650792947388
10 60 -5 -4 4.5 5 22677.08205282573 0.5589467474383127
10 60 -5 -4 5 5.5 19773.04350815978 0.4684804160133353
10 60 -5 -4 5.5 6 17346.61451423627 0.3915707786036364
10 60 -5 -4 6 6.5 15297.81474883646 0.3267594978460693
10 60 -5 -4 6.5 7 13552.11249901417 0.2729506751056761
10 60 -5 -4 7 7.5 12052.88862253874 0.2285997818562464
10 60 -5 -4 7.5 8 10756.6251360754 0.1916013799309439
10 60 -5 -4 8 8.5 9629.178704708467 0.1629264821349352
10 60 -5 -4 8.5 9 8643.587026532357 0.1388791232202493
10 60 -5 -4 9 9.5 7778.087733304156 0.1189686821762734
10 60 -5 -4 9.5 10 7015.053444481456 0.1021305654176103
10 60 -5 -4 10 10.5 6339.995833731299 0.08748600816852559
10 60 -5 -4 10.5 11 5740.860310931586 0.0748229616374374
10 60 -5 -4 11 11.5 5207.609498112108 0.0650673579375507
10 60 -5 -4 11.5 12 4731.771817062766 0.2218816765889642
10 60 -5 -4 12 12.5 4306.140832233906 0.163112602849651
10 60 -5 -4 12.5 13 3924.589139739169 0.1164185487305076
10 60 -5 -4 13 13.5 3581.860693882852 0.08031130988547375
10 60 -5 -4 13.5 14 3273.412632721024 0.0513108956574797
10 60 -5 -4 14 14.5 2995.318142017576 0.02950610311108903
10 60 -5 -4 14.5 15 2744.168025077078 0.02663128247968416
10 60 -5 -4 15 16 4828.178377991398 0.0659861031190303
10 60 -5 -4 16 17 4079.318122795935 0.1935825448781543
10 60 -5 -4 17 18 3460.516645506441 0.02942618368524563
10 60 -5 -4 18 19 2946.576852868834 0.02376741635953294
