#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -669549.4504432186 12.92892843636218
10 60 -5 -4 0.5 1 28621.42392980546 0.7721057661656232
10 60 -5 -4 1 1.5 66445.60715425992 1.485579478394357
10 60 -5 -4 1.5 2 59550.88387283858 1.281342322996352
10 60 -5 -4 2 2.5 50010.27135817587 1.727889945970674
10 60 -5 -4 2.5 3 41876.45691897959 0.9832810830994276
10 60 -5 -4 3 3.5 35351.54906180772 0.8730689468138735
10 60 -5 -4 3.5 4 30135.53465721169 1.165869404841942
10 60 -5 -4 4 4.5 25924.82800739843 0.6405779355263803
10 60 -5 -4 4.5 5 22481.93377677727 0.5426133303699316
10 60 -5 -4 5 5.5 19631.243176865 0.4569444617663976
10 60 -5 -4 5.5 6 17243.73203621914 0.3831836976387422
10 60 -5 -4 6 6.5 15223.70142764407 0.3204544028103555
10 60 -5 -4 6.5 7 13499.4921549663 0.2684248529130855
10 60 -5 -4 7 7.5 12016.42901057013 0.2253818593635515
10 60 -5 -4 7.5 8 10732.38070978251 0.1893666596570256
10 60 -5 -4 8 8.5 9614.170797331682 0.161384606590218
10 60 -5 -4 8.5 9 8635.571379394616 0.1377731844822847
10 60 -5 -4 9 9.5 7775.338196932972 0.1182752017884923
10 60 -5 -4 9.5 10 7016.246926666247 0.1016586193009061
10 60 -5 -4 10 10.5 6344.114396845742 0.08719447960174875
10 60 -5 -4 10.5 11 5747.110584180009 0.07462013243366528
10 60 -5 -4 11 11.5 5215.379552297501 0.06496539607906016
10 60 -5 -4 11.5 12 4740.588730367653 0.2305252896330785
10 60 -5 -4 12 12.5 4315.635560603478 0.1703611929160616
10 60 -5 -4 12.5 13 3934.478728841353 0.1225655583289154
10 60 -5 -4 13 13.5 3591.928632766076 0.08568801197043285
10 60 -5 -4 13.5 14 3283.492355753721 0.05582716760545736
10 60 -5 -4 14 14.5 3005.284544374526 0.03247123603432556
10 60 -5 -4 14.5 15 2753.928743912765 0.02672916369101586
10 60 -5 -4 15 16 4846.830726175414 0.04657609004334518
10 60 -5 -4 16 17 4096.564853468236 0.1793505761288543
10 60 -5 -4 17 18 3476.229093810205 0.02959339885501322
10 60 -5 -4 18 19 2960.742704621344 0.02392141646669188
10 60 -5 -4 19 20 2530.39031515363 0.01981404118714636
10 60 -5 -4 20 21 2169.550612899598 0.01796138269037328
10 60 -5 -4 21 22 1865.783815398193 0.01830930221126437
10 60 -5 -4 22 23 1609.090256926174 0.01503714000773471
10 60 -5 -4 23 24 1391.403536500007 0.009859675734332995
10 60 -5 -4 24 25 1206.187068764963 0.009719480761305022
10 60 -5 -4 25 26 1048.099258750575 0.01250192022621377
10 60 -5 -4 26 27 912.7634962899754 0.01290927552702215
10 60 -5 -4 27 28 796.5852307946661 0.01307995556851438
10 60 -5 -4 28 29 696.5887335198481 0.01353121979570915
10 60 -5 -4 29 30 610.3011121958519 0.01320942322342944
10 60 -5 -4 30 31 535.6669676349217 0.01261538585708877
10 60 -5 -4 31 32 470.9677449464885 0.01209350618046301
10 60 -5 -4 32 33 414.7596501629655 0.01123601902543214
10 60 -5 -4 33 34 365.8288388524954 0.01005605177954294
10 60 -5 -4 34 35 323.15058248675 0.008838599704461103
10 60 -5 -4 35 36 285.8572392168917 0.008453795569721478
10 60 -5 -4 36 37 253.2113478731299 0.008235787534573547
10 60 -5 -4 37 38 224.5850313267279 0.008064732416414699
10 60 -5 -4 38 39 199.443288663685 0.007676713715028427
10 60 -5 -4 39 40 177.3282295157001 0.007139279853674907
10 60 -5 -4 40 42 298.5056427454529 0.01220303786647037
10 60 -5 -4 42 44 237.5247255853378 0.00879585057734289
10 60 -5 -4 44 46 189.7592777840625 0.005312292138796693
10 60 -5 -4 46 48 152.1639512637177 0.002577959399133078
10 60 -5 -4 48 50 122.4390597164144 0.0008366724756427857
10 60 -5 -4 50 52 98.83851522120153 0.001217872965682432
10 60 -5 -4 52 54 80.02645612037242 0.003542329838197134
10 60 -5 -4 54 56 64.97646671996544 0.0003451293759724194
10 60 -5 -4 56 58 52.89495540022434 0.0002808749451332915
10 60 -5 -4 58 60 43.16473988898556 0.000229209589214463
10 60 -5 -4 60 65 76.70572203071796 0.0004042154440924151
10 60 -5 -4 65 70 46.96573650406607 0.0002468938337401028
10 60 -5 -4 70 80 47.18442662066082 0.001049931269839988
10 60 -5 -4 80 90 18.56523076731683 0.0005495211878994155
10 60 -5 -4 90 100 7.42861071073898 0.0002272734442305691
10 60 -4 -3.5 0 0.5 -390758.4021673084 5.034934252442326
10 60 -4 -3.5 0.5 1 18069.56421912461 0.8375022338150302
10 60 -4 -3.5 1 1.5 40220.57543184007 1.278366405873385
10 60 -4 -3.5 1.5 2 35816.98347383631 1.131696463962726
10 60 -4 -3.5 2 2.5 29977.65887686533 0.9636757287953515
10 60 -4 -3.5 2.5 3 25054.44763019844 0.8002601252228487
