#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 21.77890707355859 0.0002690480443199306
-5 -4.75 1 2 38.87743881652217 0.0002458734816599417
-5 -4.75 2 3 23.02267350473211 0.0007870851053972672
-5 -4.75 3 4 15.24863384398731 0.0002998836480525569
-5 -4.75 4 5 10.83066519354943 0.0001084635210855112
-5 -4.75 5 6 8.048912663886528 5.86915325992976e-05
-5 -4.75 6 7 6.172368718113339 4.106888385724261e-05
-5 -4.75 7 8 4.843017683486932 2.955634058388057e-05
-5 -4.75 8 9 3.866629485633269 3.176724371023454e-05
-5 -4.75 9 10 3.129104452745639 3.484599400360722e-05
-5 -4.75 10 11 2.559746187558892 3.593575482740974e-05
-5 -4.75 11 12 2.112274811944471 3.546298140166826e-05
-5 -4.75 12 13 1.755449494776308 3.310573347570234e-05
-5 -4.75 13 14 1.467476122085314 2.844566211024357e-05
-5 -4.75 14 15 1.232667482209183 2.244554728370041e-05
-5 -4.75 15 16 1.039549399580261 4.104633561863302e-05
-5 -4.75 16 17 0.8795737205795523 1.24400509110556e-05
-5 -4.75 17 18 0.7462095218398337 1.032401598655142e-05
-5 -4.75 18 19 0.6344383225600633 2.34769010861724e-05
-5 -4.75 19 20 0.5403320475508621 2.443515687622355e-05
-5 -4.75 20 21 0.460796906661129 9.55421941928325e-06
-5 -4.75 21 22 0.3933537886994675 6.415508325585684e-06
-5 -4.75 22 23 0.3360052462276754 8.080677507849021e-06
-5 -4.75 23 24 0.2871315169894748 4.068578832394643e-06
-5 -4.75 24 25 0.2454037486268316 3.544332357413582e-06
-5 -4.75 25 26 0.2097236441716664 2.972324598754517e-06
-5 -4.75 26 27 0.1791813124392269 2.626929265198141e-06
-5 -4.75 27 28 0.1530158542307775 2.221007476294057e-06
-5 -4.75 28 29 0.1305884973115817 1.885765297637843e-06
-5 -4.75 29 30 0.1113593764509539 1.659675504833702e-06
-5 -4.75 30 31 0.09487285838360895 1.435649525302618e-06
-5 -4.75 31 32 0.0807411346719045 1.127942186623931e-06
-5 -4.75 32 33 0.068632293814839 9.885155990568828e-07
-5 -4.75 33 34 0.05826273756374516 9.555295391733276e-07
-5 -4.75 34 35 0.04938936962481135 2.396265449698676e-06
-5 -4.75 35 36 0.04180391113446446 2.89691836720396e-07
-5 -4.75 36 37 0.03532610300388991 1.259902299183269e-06
-5 -4.75 37 38 0.02980103890503965 4.655928243051111e-07
-5 -4.75 38 39 0.02509487134205551 3.961028917955078e-07
-5 -4.75 39 40 0.02109198973463024 3.679660289003517e-07
