#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 26.75601150136905 0.0002675613199052407
-5 -4.75 1 2 46.10492522199226 0.000404710123824259
-5 -4.75 2 3 26.83656017113376 0.000263677534977802
-5 -4.75 3 4 17.62226012912718 0.0001777537734604095
-5 -4.75 4 5 12.44157836259861 0.0001274068864436373
-5 -4.75 5 6 9.202217919396983 9.419970159818547e-05
-5 -4.75 6 7 7.028429267959141 7.297243540449472e-05
-5 -4.75 7 8 5.495346574620407 5.815233048700463e-05
-5 -4.75 8 9 4.373530202718254 4.628023440389484e-05
-5 -4.75 9 10 3.529124494139012 3.768033884687938e-05
-5 -4.75 10 11 2.879257777873435 3.083132933756616e-05
-5 -4.75 11 12 2.369996988000046 2.571862887812415e-05
-5 -4.75 12 13 1.965015371279026 2.172842446079848e-05
-5 -4.75 13 14 1.63909008752571 6.614228331414118e-05
-5 -4.75 14 15 1.373821735486435 4.297267318964515e-05
-5 -4.75 15 16 1.156233501629984 3.209670899728678e-05
-5 -4.75 16 17 0.9763845770396337 1.138420701152221e-05
-5 -4.75 17 18 0.8267671116521021 2.036074112599096e-05
-5 -4.75 18 19 0.701625521347207 3.40821308044692e-05
-5 -4.75 19 20 0.5964718938762422 2.066272513223666e-05
-5 -4.75 20 21 0.5077704407949839 1.926251885686625e-05
-5 -4.75 21 22 0.4326924708334655 1.634973110531401e-05
-5 -4.75 22 23 0.3689663239981035 1.280075232445999e-05
-5 -4.75 23 24 0.3147550645474662 9.72699475820793e-06
-5 -4.75 24 25 0.2685500489307073 7.110159415180117e-06
-5 -4.75 25 26 0.2291091906064117 5.209778247167174e-06
-5 -4.75 26 27 0.1954040676777489 4.093209802324971e-06
-5 -4.75 27 28 0.1665774608823493 3.373991759286765e-06
-5 -4.75 28 29 0.1419103240740176 2.811548533238062e-06
-5 -4.75 29 30 0.1207960665637035 2.225006099643156e-06
-5 -4.75 30 31 0.1027228030008653 1.645466843849808e-06
-5 -4.75 31 32 0.08725632523619482 1.31694783163383e-06
-5 -4.75 32 33 0.07402593733288038 1.156534105303808e-06
-5 -4.75 33 34 0.06271488163346742 1.020963916520401e-06
-5 -4.75 34 35 0.05305232433787032 8.430865272579524e-07
-5 -4.75 35 36 0.04480616783073919 7.034517159817955e-07
-5 -4.75 36 37 0.03777706841122475 7.857055940446722e-07
-5 -4.75 37 38 0.03179304230091098 7.059105111423269e-07
-5 -4.75 38 39 0.02670594093279369 5.533909491345357e-07
-5 -4.75 39 40 0.02238827722942265 4.137648409244243e-07
-5 -4.75 40 41 0.01873011635104602 3.793828162318436e-07
-5 -4.75 41 42 0.01563670577743582 3.119148316438336e-07
-5 -4.75 42 43 0.01302610857832481 2.423554920933518e-07
-5 -4.75 43 44 0.01082742988392411 1.890330150414871e-07
-5 -4.75 44 45 0.008979615693374732 1.578148171050425e-07
-5 -4.75 45 46 0.007430079933108935 2.374651134505121e-07
-5 -4.75 46 47 0.006133369709826293 1.384951818879029e-07
-5 -4.75 47 48 0.005050595503757802 1.152963498216031e-07
-5 -4.75 48 49 0.004148339916173524 9.801236718846168e-08
-5 -4.75 49 50 0.003398076257813933 7.465590350129794e-08
-5 -4.75 50 51 0.002775605850041696 6.164044657986853e-08
-5 -4.75 51 52 0.00226029273392924 1.087466561275167e-07
-5 -4.75 52 53 0.001834765519899839 2.150532087022254e-08
-5 -4.75 53 54 0.001484326332375766 1.871625917855384e-08
-5 -4.75 54 55 0.001196534137299259 9.199307370770862e-09
-5 -4.75 55 56 0.0009609177177792061 4.056652363755141e-08
-5 -4.75 56 57 0.0007686073582616172 2.551521768444798e-08
-5 -4.75 57 58 0.0006122031381256674 1.946382892456956e-08
-5 -4.75 58 59 0.0004854414193029415 1.479440630810028e-08
-5 -4.75 59 60 0.0003830879793758518 1.358180485666691e-08
-5 -4.75 60 61 0.0003007755545306628 1.198278489405796e-08
-5 -4.75 61 62 0.0002348606519579999 4.271875629385975e-11
-5 -4.75 62 63 0.0001823192151680513 6.940211259094838e-09
-5 -4.75 63 64 0.0001406446653235502 6.063645333184622e-09
-5 -4.75 64 65 0.0001077667767023568 3.175035775471787e-11
-5 -4.75 65 66 8.197895018037024e-05 9.890225044918276e-10
-5 -4.75 66 67 6.187854775974757e-05 2.792955251242849e-09
-5 -4.75 67 68 4.631620684798057e-05 1.36708502049103e-11
-5 -4.75 68 69 3.435424572465671e-05 2.533254481158027e-11
-5 -4.75 69 70 2.523121931265481e-05 1.571932376813142e-11
-5 -4.75 70 71 1.833199196131161e-05 1.137040801614596e-11
-5 -4.75 71 72 1.316228288932007e-05 9.372875305752038e-12
