#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 21.03539188971487 0.0004064599673085922
-5 -4.75 1 2 36.38398365453932 0.0009558363818555904
-5 -4.75 2 3 21.47975905725172 0.0005440019712636968
-5 -4.75 3 4 14.19822386549028 0.0003530282230865822
-5 -4.75 4 5 10.06722097409182 0.000245297316450177
-5 -4.75 5 6 7.469393899497044 0.0001786083336989819
-5 -4.75 6 7 5.718842762499471 0.0001335108754840775
-5 -4.75 7 8 4.480078813554646 0.0001030057379072247
-5 -4.75 8 9 3.571089544579094 8.020671190278605e-05
-5 -4.75 9 10 2.885276833487246 6.36120357722092e-05
-5 -4.75 10 11 2.356339317378644 5.077028256161853e-05
-5 -4.75 11 12 1.941119780266262 4.167714414426982e-05
-5 -4.75 12 13 1.610396189212038 3.357272331849792e-05
-5 -4.75 13 14 1.343776091871605 2.79382631818148e-05
-5 -4.75 14 15 1.126654212983708 2.311557253342755e-05
-5 -4.75 15 16 0.9483160397338948 3.335078454613782e-05
-5 -4.75 16 17 0.8007650651048941 1.584406195143107e-05
-5 -4.75 17 18 0.6779318719840655 1.366040316619355e-05
-5 -4.75 18 19 0.5751333806212775 2.60127850432168e-05
-5 -4.75 19 20 0.4887140161880788 9.041139203858073e-06
-5 -4.75 20 21 0.4157889452402939 7.616442069757756e-06
-5 -4.75 21 22 0.3540552872444909 6.326100297326942e-06
-5 -4.75 22 23 0.3016562546158974 5.212256427022943e-06
-5 -4.75 23 24 0.2570832342564943 4.362971890325973e-06
-5 -4.75 24 25 0.2191014420062332 3.666794218371017e-06
-5 -4.75 25 26 0.1866928892689604 3.075326280133073e-06
-5 -4.75 26 27 0.1590120427625997 2.617706506502504e-06
-5 -4.75 27 28 0.1353530597242537 2.250726443137063e-06
-5 -4.75 28 29 0.1151236965488556 1.940955481227746e-06
-5 -4.75 29 30 0.09782476869288138 1.686137372836072e-06
-5 -4.75 30 31 0.08303374084485904 1.459587521651651e-06
-5 -4.75 31 32 0.07039159777624843 1.261500634383572e-06
-5 -4.75 32 33 0.05959218069833157 1.085403566136733e-06
-5 -4.75 33 34 0.05037387066917197 9.658352093516731e-07
-5 -4.75 34 35 0.04251257159843846 8.685076643352718e-07
-5 -4.75 35 36 0.03581592875120283 7.891473681256866e-07
-5 -4.75 36 37 0.03011862781019995 7.182806380685858e-07
-5 -4.75 37 38 0.02527840466805239 6.618736068698949e-07
-5 -4.75 38 39 0.02117268674054599 6.103645172651773e-07
-5 -4.75 39 40 0.01769587220355348 5.703850605477678e-07
-5 -4.75 40 41 0.01475693196891138 5.313951480234724e-07
-5 -4.75 41 42 0.01227744569414318 4.973899282202654e-07
-5 -4.75 42 43 0.01018983683113639 4.668950851945131e-07
-5 -4.75 43 44 0.00843595063607412 2.012008846457441e-07
-5 -4.75 44 45 0.006965752105685419 1.705525116482698e-07
-5 -4.75 45 46 0.005736248074099424 1.459782825678074e-07
-5 -4.75 46 47 0.004710552797794627 1.233521514472022e-07
-5 -4.75 47 48 0.00385705059918862 1.033236658835868e-07
-5 -4.75 48 49 0.003148712043502846 8.782908034101616e-08
-5 -4.75 49 50 0.00256244589901517 7.469667127413607e-08
-5 -4.75 50 51 0.002078590015238161 6.1609224317246e-08
-5 -4.75 51 52 0.001680419021822409 5.269915872522374e-08
-5 -4.75 52 53 0.00135374977475285 4.294369477879888e-08
-5 -4.75 53 54 0.001086581827776288 3.670171892788954e-08
-5 -4.75 54 55 0.0008687846518018317 3.03833371729156e-08
-5 -4.75 55 56 0.0006918343177188336 2.513080786103062e-08
-5 -4.75 56 57 0.0005485745714762563 2.079147748824776e-08
-5 -4.75 57 58 0.0004330182615768159 1.703035500442247e-08
-5 -4.75 58 59 0.0003401677961072631 1.420432364540895e-08
-5 -4.75 59 60 0.0002658667885347888 1.168694350366442e-08
-5 -4.75 60 61 0.0002066673364988586 9.447371464369999e-09
-5 -4.75 61 62 0.0001597175503412844 7.599046199826794e-09
-5 -4.75 62 63 0.0001226681720376745 2.088742875763858e-10
-5 -4.75 63 64 9.358678125482774e-05 1.662762994918696e-10
-5 -4.75 64 65 7.089108380329679e-05 1.054614023876781e-10
-5 -4.75 65 66 5.328874649119513e-05 6.418319378038127e-11
-5 -4.75 66 67 3.972809299573137e-05 3.038270035679493e-11
-5 -4.75 67 68 2.935656252653435e-05 1.196279354872751e-11
-5 -4.75 68 69 2.148604139512515e-05 1.694841294557132e-11
-5 -4.75 69 70 1.556366779853656e-05 9.739787230585769e-12
-5 -4.75 70 71 1.114795398715748e-05 8.935290324684603e-12
-5 -4.75 71 72 7.888181111396833e-06 6.390230748390012e-12
-5 -4.75 72 73 5.507718077234666e-06 8.536790547332201e-12
-5 -4.75 73 74 3.789875917776019e-06 6.70278268466055e-12
-5 -4.75 74 75 2.566247661092259e-06 4.756014948325638e-12
-5 -4.75 75 76 1.707080798357839e-06 5.376874556879007e-12
-5 -4.75 76 77 1.113339665430079e-06 3.566039477682963e-12
-5 -4.75 77 78 7.102393283183267e-07 2.576639544207073e-12
-5 -4.75 78 79 4.419558962255202e-07 2.05262857794122e-12
-5 -4.75 79 80 2.673620522810116e-07 1.748621062862126e-12
-5 -4.75 80 81 1.566043969710778e-07 1.279277598062217e-12
-5 -4.75 81 82 8.837107475780118e-08 1.061239615030284e-12
-5 -4.75 82 83 4.773998989071433e-08 7.677037513185471e-13
-5 -4.75 83 84 2.449097408629775e-08 5.334346787940803e-13
-5 -4.75 84 85 1.180483438216847e-08 4.305059672610057e-13
-5 -4.75 85 86 5.269165532771177e-09 2.521300009848111e-14
-5 -4.75 86 87 2.133479478937389e-09 2.519056749628171e-14
-5 -4.75 87 88 7.593840658426769e-10 1.138286900701784e-14
-5 -4.75 88 89 2.253128667663482e-10 3.557048409405949e-16
-5 -4.75 89 90 4.992702546957828e-11 1.432582263534954e-15
-5 -4.75 90 91 5.664316014152686e-12 1.219769236781186e-17
-5 -4.75 91 92 -8.670945273557116e-13 3.873649094117827e-18
-5 -4.75 92 93 -4.92568769897735e-13 5.426799819099557e-18
-5 -4.75 93 94 -7.147867637646271e-14 3.191021623447119e-18
-5 -4.75 94 95 -1.745908339772751e-15 5.062706690782572e-20
-5 -4.75 95 96 3.019673053030867e-21 1.242521010193383e-26
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 169.5342652088343 0.005373220872542106
-4.75 -4.5 1 2 429.2729904435225 0.001828459012756412
-4.75 -4.5 2 3 271.2126437628289 0.001417775474692462
-4.75 -4.5 3 4 186.1964557617303 0.0009011099616600404
-4.75 -4.5 4 5 136.0266823538718 0.0006862443806312513
-4.75 -4.5 5 6 103.6469478861654 0.0005428442421475665
-4.75 -4.5 6 7 81.36987613364569 0.0004391864146668922
-4.75 -4.5 7 8 65.31267224722042 0.0003620054399107175
-4.75 -4.5 8 9 53.32551229390081 0.0003025577745461305
-4.75 -4.5 9 10 44.12862488751652 0.0002559342793873043
-4.75 -4.5 10 11 36.91742164772903 0.0002179968677111788
-4.75 -4.5 11 12 31.16186000308552 0.0001874935934829125
-4.75 -4.5 12 13 26.5000480379638 0.0001613462221747852
-4.75 -4.5 13 14 22.67737917824871 0.0001388252764904507
-4.75 -4.5 14 15 19.5096326901691 0.0001206218245997093
-4.75 -4.5 15 16 16.86078241612672 0.000103989594286702
-4.75 -4.5 16 17 14.62857906008333 8.987019508133187e-05
-4.75 -4.5 17 18 12.7346228551204 7.765059343611824e-05
-4.75 -4.5 18 19 11.11799750976335 0.0004432685796142977
-4.75 -4.5 19 20 9.730865141807007 0.0002475041488327889
-4.75 -4.5 20 21 8.535149922180389 0.0001050908112780746
-4.75 -4.5 21 22 7.500199100019015 4.19836856657696e-05
-4.75 -4.5 22 23 6.601131687468344 7.63969851096391e-05
-4.75 -4.5 23 24 5.81758707758736 0.0001336448235322862
-4.75 -4.5 24 25 5.132798634126935 0.0001733333079485533
-4.75 -4.5 25 26 4.532820401265597 0.0002001808265017502
-4.75 -4.5 26 27 4.005962664047111 6.380034738029394e-05
-4.75 -4.5 27 28 3.542457574277803 1.184399743570097e-05
-4.75 -4.5 28 29 3.133957068726954 8.144192303660702e-06
-4.75 -4.5 29 30 2.773420290152441 4.96299919738874e-06
-4.75 -4.5 30 31 2.454818513796257 3.582159552539821e-06
-4.75 -4.5 31 32 2.172974585474875 3.191137241120856e-06
-4.75 -4.5 32 33 1.923423856148457 2.825885435431275e-06
-4.75 -4.5 33 34 1.702304472116845 5.081060226785894e-06
-4.75 -4.5 34 35 1.506264640582239 7.034277518469523e-06
-4.75 -4.5 35 36 1.332385135074091 8.711591620746972e-06
-4.75 -4.5 36 37 1.178114489449226 1.022461117061724e-05
-4.75 -4.5 37 38 1.04121683191729 1.142650615126861e-05
-4.75 -4.5 38 39 0.9197277786536769 1.234495859347984e-05
-4.75 -4.5 39 40 0.8119169333698897 1.313155302151703e-05
-4.75 -4.5 40 41 0.7162576238118868 1.377579187999967e-05
-4.75 -4.5 41 42 0.6314002234684083 1.411694200958991e-05
-4.75 -4.5 42 43 0.5561497418135337 1.436881352456787e-05
-4.75 -4.5 43 44 0.4894460521188528 1.441405371249704e-05
-4.75 -4.5 44 45 0.4303474861148223 1.426333448489858e-05
-4.75 -4.5 45 46 0.3780168396328035 1.395676013088432e-05
-4.75 -4.5 46 47 0.3317087456290183 1.357972188759105e-05
-4.75 -4.5 47 48 0.2907591505922307 1.314566260091077e-05
-4.75 -4.5 48 49 0.2545761665134113 1.255976604097597e-05
-4.75 -4.5 49 50 0.2226319448117476 3.555656878095892e-07
-4.75 -4.5 50 51 0.1944555868230611 3.143657129611732e-07
-4.75 -4.5 51 52 0.1696267134150679 2.78413263749e-07
-4.75 -4.5 52 53 0.1477701413793277 2.430505528505655e-07
-4.75 -4.5 53 54 0.1285510084455142 2.167123795415726e-07
-4.75 -4.5 54 55 0.1116703763045198 1.872766751814803e-07
-4.75 -4.5 55 56 0.09686150256704865 1.684007874813709e-07
-4.75 -4.5 56 57 0.08388643703435614 1.455239539566167e-07
-4.75 -4.5 57 58 0.07253305488979948 1.296544226703222e-07
-4.75 -4.5 58 59 0.06261230953459478 1.117060151739624e-07
-4.75 -4.5 59 60 0.05395578575022196 1.00996422787436e-07
-4.75 -4.5 60 61 0.0464136000800431 8.494491537947013e-08
-4.75 -4.5 61 62 0.03985244831786157 7.756119910912185e-08
-4.75 -4.5 62 63 0.03415388835678808 6.607587609008814e-08
-4.75 -4.5 63 64 0.0292127370310738 5.774961476037732e-08
-4.75 -4.5 64 65 0.02493572006302107 5.102558690156522e-08
-4.75 -4.5 65 66 0.02124019377074724 4.46526225439392e-08
-4.75 -4.5 66 67 0.01805304682178029 3.795675421539024e-08
-4.75 -4.5 67 68 0.01530963506804818 3.39819622094395e-08
-4.75 -4.5 68 69 0.0129529060461622 2.901299891826248e-08
-4.75 -4.5 69 70 0.01093255445599301 2.54262247367798e-08
-4.75 -4.5 70 71 0.009204302393844148 2.186618286263708e-08
-4.75 -4.5 71 72 0.00772922111985363 1.91272715227217e-08
-4.75 -4.5 72 73 0.006473149324753688 1.6389467802011e-08
-4.75 -4.5 73 74 0.005406149604586106 1.425466946650827e-08
-4.75 -4.5 74 75 0.004502027050929034 1.210658105016416e-08
-4.75 -4.5 75 76 0.003737916213503389 1.087183889919227e-08
-4.75 -4.5 76 77 0.003093884775647208 8.598197344649589e-09
-4.75 -4.5 77 78 0.002552592738810533 8.0777189243042e-09
